id,Name,Breed Group,BredFor,Minimum Life Span,Maximum Life Span,Minimum Height,Maximum Height,Minimum Weight,Maximum Weight,Temperament,Image
20,Beauceron,Herding,"Boarherding,hunting,guarding",10,12,24,28,80,110,"Fearless,Friendly,Intelligent,Protective,Calm",https://cdn2.thedogapi.com/images/HJQ8ge5V7_1280.jpg
21,BedlingtonTerrier,Terrier,"Killingrat,badger,othervermin",14,16,15,16,17,23,"Affectionate,Spirited,Intelligent,Good-tempered",https://cdn2.thedogapi.com/images/ByK8gx947_1280.jpg
22,BelgianMalinois,Herding,Stockherding,12,14,22,26,40,80,"Watchful,Alert,Stubborn,Friendly,Confident,Hard-working,Active,Protective",https://cdn2.thedogapi.com/images/r1f_ll5VX_1280.jpg
23,BelgianTervuren,Herding,"Guarding,Drafting,Policework.",10,12,22,26,40,65,"Energetic,Alert,Loyal,Intelligent,Attentive,Protective",https://cdn2.thedogapi.com/images/B1KdxlcNX_1280.jpg
24,BerneseMountainDog,Working,Draftwork,7,10,23,28,65,120,"Affectionate,Loyal,Intelligent,Faithful",https://cdn2.thedogapi.com/images/S1fFlx5Em_1280.jpg
25,BlackandTanCoonhound,Hound,"Huntingraccoons,nighthunting",10,12,23,27,65,100,"Easygoing,Gentle,Adaptable,Trusting,EvenTempered,Lovable",https://cdn2.thedogapi.com/images/HJAFgxcNQ_1280.jpg
26,Bloodhound,Hound,Trailing,8,10,23,27,80,110,"Stubborn,Affectionate,Gentle,EvenTempered",https://cdn2.thedogapi.com/images/Skdcgx9VX_1280.jpg
27,BluetickCoonhound,Hound,Huntingwithasuperiorsenseofsmell.,12,14,21,27,45,80,"Friendly,Intelligent,Active",https://cdn2.thedogapi.com/images/rJxieg9VQ_1280.jpg
28,Boerboel,Working,"Guardingthehomestead,farmwork.",10,12,22,27,110,200,"Obedient,Confident,Intelligent,Dominant,Territorial",https://cdn2.thedogapi.com/images/HyOjge5Vm_1280.jpg
29,BorderTerrier,Terrier,"Foxbolting,ratting",12,14,11,16,12,16,"Fearless,Affectionate,Alert,Obedient,Intelligent,EvenTempered",https://cdn2.thedogapi.com/images/HJOpge9Em_1280.jpg
30,BostonTerrier,Non-Sporting,"Ratting,Companionship",11,13,16,17,10,25,"Friendly,Lively,Intelligent",https://cdn2.thedogapi.com/images/rkZRggqVX_1280.jpg
31,BouvierdesFlandres,Herding,Cattleherding,10,15,24,28,70,110,"Protective,Loyal,Gentle,Intelligent,Familial,Rational",https://cdn2.thedogapi.com/images/Byd0xl5VX_1280.jpg
32,Boxer,Working,"Bull-baiting,guardian",8,10,22,25,50,70,"Devoted,Fearless,Friendly,Cheerful,Energetic,Loyal,Playful,Confident,Intelligent,Bright,Brave,Calm",https://cdn2.thedogapi.com/images/ry1kWe5VQ_1280.jpg
33,BoykinSpaniel,Sporting,Turkeyretrieving,10,14,14,18,25,40,"Friendly,Energetic,Companionable,Intelligent,Eager,Trainable",https://cdn2.thedogapi.com/images/ryHJZlcNX_1280.jpg
34,BraccoItaliano,Sporting,Versatilegundog,10,12,22,27,55,88,"Stubborn,Affectionate,Loyal,Playful,Companionable,Trainable",https://cdn2.thedogapi.com/images/S13yZg5VQ_1280.jpg
35,Briard,Herding,"Herding,guardingsheep",10,12,22,27,70,90,"Fearless,Loyal,Obedient,Intelligent,Faithful,Protective",https://cdn2.thedogapi.com/images/rkVlblcEQ_1280.jpg
36,Brittany,Sporting,"Pointing,retrieving",12,14,18,21,30,45,"Agile,Adaptable,Quick,Intelligent,Attentive,Happy",https://cdn2.thedogapi.com/images/HJWZZxc4X_1280.jpg
37,Bullmastiff,Working,Estateguardian,8,12,24,27,100,130,"Docile,Reliable,Devoted,Alert,Loyal,Reserved,Loving,Protective,Powerful,Calm,Courageous",https://cdn2.thedogapi.com/images/r1ifZl5E7_1280.jpg
38,CairnTerrier,Terrier,"Boltingofotter,foxes,othervermin",14,15,9,10,13,14,"Hardy,Fearless,Assertive,Gay,Intelligent,Active",https://cdn2.thedogapi.com/images/Sk7Qbg9E7_1280.jpg
39,CaneCorso,Working,"Companion,guarddog,andhunter",10,11,24,28,88,120,"Trainable,Reserved,Stable,Quiet,EvenTempered,Calm",https://cdn2.thedogapi.com/images/r15m-lc4m_1280.jpg
40,CardiganWelshCorgi,Herding,Cattledroving,12,14,11,13,25,38,"Affectionate,Devoted,Alert,Companionable,Intelligent,Active",https://cdn2.thedogapi.com/images/SyXN-e9NX_1280.jpg
